Country Name,Year,Population
"Canada",1999,30499200
"Canada",2000,30769700
"Canada",2001,31081900
"Canada",2002,31362000
"Canada",2003,31676000
"Canada",2004,31995000
"Canada",2005,32312000
"Canada",2006,32570505
"Canada",2007,32887928
"Canada",2008,33245773
"Canada",2009,33628571
"Canada",2010,34005274
"Canada",2011,34342780
"Canada",2012,34754312
"Canada",2013,35158304
"Canada",2014,35540419
"Germany",1999,82100243
"Germany",2000,82211508
"Germany",2001,82349925
"Germany",2002,82488495
"Germany",2003,82534176
"Germany",2004,82516260
"Germany",2005,82469422
"Germany",2006,82376451
"Germany",2007,82266372
"Germany",2008,82110097
"Germany",2009,81902307
"Germany",2010,81776930
"Germany",2011,81797673
"Germany",2012,80425823
"Germany",2013,80645605
"Germany",2014,80889505
"France",1999,60496715
"France",2000,60912498
"France",2001,61357431
"France",2002,61805267
"France",2003,62244884
"France",2004,62704897
"France",2005,63179356
"France",2006,63621376
"France",2007,64016229
"France",2008,64374990
"France",2009,64707044
"France",2010,65027512
"France",2011,65342776
"France",2012,65639975
"France",2013,65925498
"France",2014,66206930
"Mexico",1999,101266570
"Mexico",2000,102808590
"Mexico",2001,104239563
"Mexico",2002,105578297
"Mexico",2003,106888418
"Mexico",2004,108257822
"Mexico",2005,109747906
"Mexico",2006,111382857
"Mexico",2007,113139374
"Mexico",2008,114972821
"Mexico",2009,116815612
"Mexico",2010,118617542
"Mexico",2011,120365271
"Mexico",2012,122070963
"Mexico",2013,123740109
"Mexico",2014,125385833
"USA",1999,279040000
"USA",2000,282162411
"USA",2001,284968955
"USA",2002,287625193
"USA",2003,290107933
"USA",2004,292805298
"USA",2005,295516599
"USA",2006,298379912
"USA",2007,301231207
"USA",2008,304093966
"USA",2009,306771529
"USA",2010,309347057
"USA",2011,311721632
"USA",2012,314112078
"USA",2013,316497531
"USA",2014,318857056
